,dates,open,high,low,close,adjusted close,volume,dividend amount,tickers
0,7/17/2019,66.21,66.25,65.12,65.24,65.24,2814861,0,CTSH
1,7/16/2019,65.8,66.31,65.35,65.95,65.95,2262045,0,CTSH
2,7/15/2019,65.9,66.09,65.5,65.82,65.82,3170517,0,CTSH
3,7/12/2019,65.57,65.91,65.185,65.86,65.86,2787395,0,CTSH
4,7/11/2019,64.35,65.42,64.09,65.29,65.29,3204229,0,CTSH
5,7/10/2019,64.58,64.96,63.67,64.06,64.06,3521823,0,CTSH
6,7/9/2019,63.84,64.46,63.62,64.38,64.38,3463532,0,CTSH
7,7/8/2019,64.41,64.845,63.9,64.2,64.2,3099562,0,CTSH
8,7/5/2019,63.74,64.87,63.69,64.71,64.71,3056147,0,CTSH
9,7/3/2019,64.42,64.45,63.79,64.18,64.18,2744810,0,CTSH
10,7/2/2019,64.41,64.55,63.6,64.36,64.36,2890936,0,CTSH
11,7/1/2019,64.47,65.2,63.85,64.28,64.28,3010883,0,CTSH
12,6/28/2019,63.37,63.79,63.17,63.39,63.39,10908463,0,CTSH
13,6/27/2019,63.27,63.45,62.94,63.06,63.06,2938132,0,CTSH
14,6/26/2019,63.6,64.22,63.05,63.06,63.06,2341475,0,CTSH
15,6/25/2019,64.05,64.15,63.05,63.16,63.16,4004948,0,CTSH
16,6/24/2019,64.09,64.48,63.77,64.05,64.05,5614808,0,CTSH
17,6/21/2019,64.12,64.72,63.86,64.46,64.46,8774053,0,CTSH
18,6/20/2019,63.3,64.29,62.82,64.17,64.17,8717250,0,CTSH
19,6/19/2019,63.67,64,61.9,62.61,62.61,7179109,0,CTSH
20,6/18/2019,63.27,64,63.12,63.72,63.72,4883728,0,CTSH
21,6/17/2019,62,62.99,61.64,62.56,62.56,3931992,0,CTSH
22,6/14/2019,62,62.22,61.02,61.64,61.64,5452017,0,CTSH
23,6/13/2019,62.48,62.555,61.86,62.34,62.34,6092561,0,CTSH
24,6/12/2019,63.09,63.39,62.11,62.15,62.15,3380222,0,CTSH
25,6/11/2019,63.66,63.93,63.022,63.37,63.37,3043224,0,CTSH
26,6/10/2019,62.85,63.4251,62.67,63.03,63.03,3763748,0,CTSH
27,6/7/2019,62.24,62.98,62.15,62.78,62.78,2312053,0,CTSH
28,6/6/2019,61.94,62.15,61.745,61.9,61.9,5228061,0,CTSH
29,6/5/2019,61.73,62.235,61.28,62.18,62.18,6435408,0,CTSH
30,6/4/2019,61.03,61.54,58.87,61.1,61.1,7812764,0,CTSH
31,6/3/2019,61.77,62.1,60.13,60.54,60.54,7308487,0,CTSH
32,5/31/2019,61.73,62.33,61.73,61.93,61.93,5698594,0,CTSH
33,5/30/2019,61.94,62.9,61.75,62.36,62.36,5059753,0,CTSH
34,5/29/2019,61.83,62.17,61.545,61.88,61.88,4540544,0,CTSH
35,5/28/2019,62.14,62.66,61.88,62.07,62.07,6931011,0,CTSH
36,5/24/2019,61.5,62.19,61.22,61.87,61.87,6435123,0,CTSH
37,5/23/2019,60.96,61.7062,60.84,61.08,61.08,9080866,0,CTSH
38,5/22/2019,60.61,62.19,60.61,61.5,61.5,9350162,0,CTSH
39,5/21/2019,60.18,61.15,60.0205,61,61,9828682,0.2,CTSH
40,5/20/2019,58.83,60.115,58.71,59.99,59.794,10899414,0,CTSH
41,5/17/2019,58.01,59.5,57.81,59.44,59.2458,8199187,0,CTSH
42,5/16/2019,58.46,58.985,58.23,58.64,58.4484,6956521,0,CTSH
43,5/15/2019,57.55,58.765,57.43,58.6,58.4085,7812108,0,CTSH
44,5/14/2019,57.12,58.3,56.97,57.75,57.5613,7946793,0,CTSH
45,5/13/2019,58.02,58.17,56.73,56.88,56.6941,12267713,0,CTSH
46,5/10/2019,58.56,59.32,58.28,59.13,58.9368,12089651,0,CTSH
47,5/9/2019,58.27,59.275,58.005,59.1,58.9069,9168242,0,CTSH
48,5/8/2019,58.48,59.11,58.07,58.98,58.7873,8371150,0,CTSH
49,5/7/2019,59,59.1,57.47,58.51,58.3188,10533169,0,CTSH
50,5/6/2019,58.56,60.19,58.02,59.6,59.4052,10181715,0,CTSH
51,5/3/2019,60.09,61.5,57.7,59.25,59.0564,40551003,0,CTSH
52,5/2/2019,72.19,72.97,65,66.61,66.3923,12472507,0,CTSH
53,5/1/2019,73.35,73.38,72.15,72.18,71.9441,3151938,0,CTSH
54,4/30/2019,72.43,73.05,72.29,72.96,72.7216,3057203,0,CTSH
55,4/29/2019,71.15,72.855,71.15,72.4,72.1634,3450920,0,CTSH
56,4/26/2019,73.07,73.43,72.64,73.37,73.1302,2216254,0,CTSH
57,4/25/2019,72.72,73.11,72.3,72.93,72.6917,2459724,0,CTSH
58,4/24/2019,72.98,73.5,72.09,72.67,72.4325,3045795,0,CTSH
59,4/23/2019,71.77,73.05,71.545,72.85,72.6119,6282901,0,CTSH
60,4/22/2019,70.95,71.54,70.37,71.48,71.2464,2046252,0,CTSH
61,4/18/2019,72.27,72.27,70.555,71.34,71.1069,5469565,0,CTSH
62,4/17/2019,72.17,72.43,71.75,72.15,71.9142,3025446,0,CTSH
63,4/16/2019,73,73.174,71.58,71.9,71.665,4399497,0,CTSH
64,4/15/2019,74.44,74.582,73.76,74.32,74.0771,1690423,0,CTSH
65,4/12/2019,74.41,74.5,73.5542,74.29,74.0472,2499775,0,CTSH
66,4/11/2019,74.67,74.78,74.07,74.19,73.9475,2018576,0,CTSH
67,4/10/2019,74.45,74.765,74.31,74.6,74.3562,1554248,0,CTSH
68,4/9/2019,73.92,74.52,73.72,74.37,74.127,2036042,0,CTSH
69,4/8/2019,74.26,74.45,73.56,74.41,74.1668,2428986,0,CTSH
70,4/5/2019,73.85,74.42,73.13,74.2,73.9575,2572828,0,CTSH
71,4/4/2019,74.3,74.4,73.315,73.79,73.5489,2221753,0,CTSH
72,4/3/2019,73.9,74.845,73.82,74.18,73.9376,3485077,0,CTSH
73,4/2/2019,73.86,74.18,73.41,73.57,73.3296,3069299,0,CTSH
74,4/1/2019,73,73.98,72.65,73.85,73.6087,3561871,0,CTSH
75,3/29/2019,72.02,72.85,71.97,72.45,72.2132,4475282,0,CTSH
76,3/28/2019,71.89,71.89,71.035,71.58,71.3461,2495830,0,CTSH
77,3/27/2019,71.13,71.47,70.32,71.03,70.7979,2040349,0,CTSH
78,3/26/2019,71.23,71.7275,70.67,71.09,70.8577,2295453,0,CTSH
79,3/25/2019,70.74,70.885,70.005,70.75,70.5188,1983705,0,CTSH
80,3/22/2019,71.96,72.06,70.64,70.89,70.6583,2711811,0,CTSH
81,3/21/2019,71.49,72.64,71.41,72.2,71.9641,4141701,0,CTSH
82,3/20/2019,72.17,72.43,71.32,71.71,71.4757,2161278,0,CTSH
83,3/19/2019,72.31,72.44,71.8,72.02,71.7846,2537279,0,CTSH
84,3/18/2019,72.1,72.32,71.22,71.88,71.6451,2376890,0,CTSH
85,3/15/2019,71.06,72.36,70.94,72.13,71.8943,4805860,0,CTSH
86,3/14/2019,71.22,71.47,70.85,70.93,70.6982,2577521,0,CTSH
87,3/13/2019,71.93,72.33,71.15,71.21,70.9773,3926930,0,CTSH
88,3/12/2019,72.3,72.61,71.68,71.78,71.5454,3622793,0,CTSH
89,3/11/2019,71.37,72.39,71.3,72.35,72.1136,3159171,0,CTSH
90,3/8/2019,71.61,72,70.565,71.15,70.9175,3912538,0,CTSH
91,3/7/2019,72.32,72.72,71.66,72.33,72.0936,5296339,0,CTSH
